Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
576,"[0.0, 1.7179312059076937, 25.88724586751816, 80.92482010850827, 121.14000953406422, 360.24197280423755, 218.69126072458366, 420.1311877714548]","[0.0, 64824.41612372091, 485360.7578053887, 489049.9153432144, 1413810.4757992527, 1948730.837361797, 555524.7567167678, 1572121.501751915]","[19, 15, 11, 7, 11, 11, 26, 17]","[136.70886075949366, 137.44100959753965, 276.3915547024952, 274.2857142857143, 137.89434484226206, 138.13685781283309, 138.29162887477992, 138.32114840706546]",18739.0,138.32114840706546
577,"[0.0, 1.8471610560179073, 135.22711695113574, 66.23450514719187, 311.6897094117013, 339.8816042133989, 98.04168882140857, 444.5529498055793]","[0.0, 70042.19832074826, 483395.99342530366, 483510.4241605735, 1433619.4274136722, 2003345.1548424102, 583278.2464956287, 1561721.5890412524]","[20, 13, 8, 14, 15, 12, 14, 16]","[135.86329803962678, 136.56480505795574, 271.6981132075472, 275.1592356687898, 136.8098807136071, 136.91828218266335, 137.01961198921606, 137.04859091630095]",18913.0,137.04859091630095
578,"[0.0, 24.456326560785442, 176.16373768117373, 190.5387774373845, 198.98511123807182, 567.8886801206856, 284.97411181264744, 624.9399157398724]","[0.0, 53541.61604256889, 475876.399524155, 476278.29769259447, 1412330.8539533725, 1940162.467199273, 570798.5489417681, 1564451.8336411773]","[18, 15, 14, 14, 9, 20, 20, 19]","[137.565014329689, 138.2842509603073, 276.74567584881487, 276.95266588310716, 138.54294724464162, 138.6615310544054, 138.75802997858673, 138.78774898265152]",18676.0,138.78774898265152
579,"[0.0, 38.121810311061296, 224.42701962636266, 109.82135946905133, 283.40269458706604, 311.07144817745456, 106.83179084791011, 321.68782653452797]","[0.0, 42829.91004750547, 461401.2917492945, 462073.19662521314, 1422018.0153864818, 1987037.0620590325, 579365.4589087056, 1578125.077562655]","[14, 13, 12, 15, 14, 17, 15, 12]","[135.47982437800545, 136.15590691810684, 271.78357974205727, 273.18718381112984, 136.31343676045228, 136.36363636363637, 136.3923384550621, 136.3923384550621]",19004.0,136.3923384550621
580,"[0.0, 1.2191840363717221, 26.629455771436863, 319.15395230921587, 287.9697909579426, 99.14269734756273, 85.23311315620022, 510.68808131991324]","[0.0, 45816.93608684932, 502873.18331833475, 498020.5659792369, 1440554.3553547047, 1993643.2182684, 581936.0276700037, 1550109.5290022953]","[13, 25, 10, 19, 13, 7, 12, 25]","[137.28813559322035, 138.04122064227514, 274.4309158284807, 278.58985382631124, 138.43195898312325, 138.63186607477135, 138.8026132590768, 138.86210221793635]",18666.0,138.86210221793635
581,"[0.0, 1.042757285311315, 50.60159549845823, 432.6917563661018, 496.54041055365644, 541.1588988796976, 55.872730206776254, 358.6742567344289]","[0.0, 38972.46680702567, 477711.1690831356, 476504.10259123787, 1412708.0414769074, 1979234.0419626487, 602767.7363818518, 1587934.3467385836]","[11, 21, 16, 11, 19, 17, 16, 14]","[137.68924302788844, 138.4245660881175, 278.2310004293688, 276.038338658147, 138.68378812199037, 138.81748071979433, 138.91419690229915, 138.94398284642187]",18655.0,138.94398284642187
582,"[0.0, 0.4870127242366247, 69.59289295359751, 201.387104513491, 435.0022002155118, 513.5254763006989, 76.57716917365889, 235.29402710456793]","[0.0, 18513.30169913105, 428347.48408954754, 428875.75976822444, 1400828.5735183072, 1974518.991006087, 585607.8291057923, 1555915.2424089604]","[5, 13, 24, 14, 17, 19, 11, 18]","[135.71391172312687, 136.42105263157896, 276.12655800575266, 270.1125468945394, 136.60798988088965, 136.65120202446226, 136.68723303274797, 136.69444151460817]",18962.0,136.69444151460817
583,"[0.0, 53.813777592568215, 382.7835737515195, 424.98844672678507, 190.4988740511565, 472.38946991301884, 56.96864898789065, 377.0909270657937]","[0.0, 38988.524516643905, 441672.3148771259, 453595.6058274583, 1451128.5886662235, 1997453.2302529765, 574488.8902138947, 1557433.5572179458]","[12, 12, 21, 21, 7, 16, 9, 14]","[133.76683697166743, 134.425889430557, 268.51755930798714, 269.55074875207987, 134.58642712498053, 134.6773355502442, 134.74034412850236, 134.76136009150463]",19234.0,134.76136009150463
584,"[0.0, 1.0970644538429195, 320.4292195816579, 98.17111975877047, 429.45695407757324, 335.9265009132991, 52.17476073616262, 379.77292551466417]","[0.0, 42059.25703142985, 455318.0694979841, 454251.3099991281, 1422672.606937303, 1991694.9958544003, 567053.2262356168, 1552108.3539731002]","[13, 11, 17, 12, 13, 13, 11, 18]","[134.5584799875409, 135.26065856076815, 272.4406138322472, 269.32668329177056, 135.57194413933783, 135.69259763375564, 135.78500707213578, 135.8205826870677]",19084.0,135.8205826870677
585,"[0.0, 1.0476383986825228, 148.50877382384945, 144.93773089642517, 303.1796027829038, 425.84482953789785, 168.55676014561004, 532.7535587707054]","[0.0, 39665.68505091768, 474088.58273611125, 477771.01291750756, 1418814.5514921744, 2000512.7465250886, 601017.1764343756, 1570437.2862288267]","[12, 19, 9, 15, 19, 17, 8, 17]","[136.24178712220763, 136.99064531472968, 272.5552050473186, 276.12655800575266, 137.28813559322035, 137.41186449663363, 137.47016706443915, 137.47745836427282]",18854.0,137.47745836427282
