Sim Instant,Robot State,Machines State,Machine CT,Machines Breakdowns,Machines Idle Time,Buffers State
74046.45205012745,"('M7', 'OutputStock')","[False, False, True, False, False, False, False]","[1898.6269756442937, 1948.5908434244066, 2001.2554608142555, 2056.845890281318, 2115.612915717927, 2115.612915717927, 2115.612915717927]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 73103.29804618427, 70255.7830897696, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
74146.45205012745,"('InputStock', 'M1')","[False, False, True, False, False, False, False]","[1901.1910782083962, 1951.222422371775, 2003.9581635169582, 2059.623668059096, 2118.47005857507, 2118.47005857507, 2118.47005857507]","[1, 1, 0, 0, 0, 1, 1]","[68532.69922451717, 63469.87074318983, 37200.79032726872, 73103.29804618427, 70255.7830897696, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
74267.30495458905,"('M1', 'M2')","[False, False, True, False, False, False, False]","[1856.6826238647263, 1954.4027619628698, 2007.2244582321366, 2062.9806931830294, 2121.922998702544, 2121.922998702544, 2121.922998702544]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 63469.87074318983, 37200.79032726872, 73103.29804618427, 70255.7830897696, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
74518.12008743422,"('M2', 'M3')","[False, False, False, False, False, False, False]","[1862.9530021858554, 1910.7210278829286, 1961.0031601956373, 2069.947780206506, 2129.0891453552636, 2129.0891453552636, 2129.0891453552636]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 73103.29804618427, 70255.7830897696, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 1), (0, 0), (0, 0), (0, 0), (0, 1)]"
74618.12008743422,"('M3', 'M4')","[False, False, True, False, False, False, False]","[1865.4530021858554, 1913.2851304470312, 1963.6347391430056, 2072.725557984284, 2131.946288212406, 2131.946288212406, 2131.946288212406]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 73103.29804618427, 70255.7830897696, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
74728.90345795572,"('M4', 'M5')","[False, False, True, False, False, False, False]","[1868.222586448893, 1916.1257296911722, 1966.5500909988348, 2019.7000934582627, 2135.1115273701635, 2135.1115273701635, 2135.1115273701635]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 74236.9157238476, 70255.7830897696, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
74929.7419310045,"('M5', 'M6')","[False, False, True, False, False, False, False]","[1873.2435482751123, 1921.2754341283203, 1971.8353139738024, 2025.1281602974188, 2081.3817203056806, 2140.849769457271, 2140.849769457271]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 74236.9157238476, 71299.26550405608, 68017.02191174639, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
75090.61157635847,"('M6', 'M7')","[False, False, True, False, False, False, False]","[1877.2652894089617, 1925.4002968297043, 1976.068725693644, 2029.4759885502287, 2085.850321565513, 2085.850321565513, 2145.4460450388133]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 74236.9157238476, 71299.26550405608, 69100.31179262343, 67129.35759768945]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
75190.61157635847,"('M7', 'OutputStock')","[False, False, True, False, False, False, False]","[1879.7652894089617, 1927.9643993938068, 1978.7003046410123, 2032.1786912529315, 2088.6280993432906, 2088.6280993432906, 2088.6280993432906]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 74236.9157238476, 71299.26550405608, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
75290.61157635847,"('InputStock', 'M1')","[False, False, True, False, False, False, False]","[1882.2652894089617, 1930.5285019579094, 1981.3318835883808, 2034.8813939556342, 2091.4058771210684, 2091.4058771210684, 2091.4058771210684]","[1, 1, 0, 0, 0, 1, 1]","[69656.38038644253, 64463.45249470471, 37343.93980631437, 74236.9157238476, 71299.26550405608, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
75411.64637861702,"('M1', 'M2')","[False, False, True, False, False, False, False]","[1839.3084482589518, 1933.6319584260775, 1984.517009963606, 2038.152604827487, 2094.767954961584, 2094.767954961584, 2094.767954961584]","[1, 1, 0, 0, 0, 1, 1]","[70779.68700821194, 64463.45249470471, 37343.93980631437, 74236.9157238476, 71299.26550405608, 69100.31179262343, 68222.47459969639]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 1)]"
