Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
21,"[283.73620718151506, 98.59003563075241, 2188.8179862334896, 1909.521037907422, 1209.691997133763, 2442.1002514958373, 4161.134519274496]","[95902.89629879904, 22807.62409695633, 1398396.0592535164, 1425013.8358734895, 1444780.6271378957, 1434799.9506166016, 1277851.0068946162]","[13, 15, 19, 11, 10, 11, 19]","[14896.551724137931, 22736.842105263157, 1463.579898362507, 1482.837528604119, 1503.4802784222738, 1526.5017667844522, 1562.386980108499]",1635.0,1585.3211009174313
22,"[246.61181282250092, 82.08377189410767, 3829.5069818296306, 4238.833577752385, 3110.505187444608, 3117.2728474323035, 1175.1956168791128]","[130132.85309917004, 31014.18104475533, 2197051.0232954402, 2225281.428384166, 2229271.884277393, 2233067.827725126, 2201666.4046351775]","[11, 19, 14, 17, 15, 14, 9]","[9564.575645756458, 14400.0, 900.9384775808134, 916.5487977369165, 935.4023818116203, 951.5418502202643, 969.3343305908751]",2644.0,980.3328290468986
23,"[1925.6328234118168, 131.49479916413873, 4698.237139280702, 3806.433305326818, 3811.2825818463602, 3857.4787496999725, 2973.486773334219]","[135187.0628724906, 48521.580891567195, 2169850.7155251615, 2217598.0533242696, 2259729.0491462797, 2181594.8054551585, 2180647.6314376807]","[19, 12, 20, 16, 12, 16, 13]","[9564.575645756458, 14561.797752808989, 918.1721572794899, 931.3690262306864, 949.1028927132918, 966.8034315553898, 985.1767388825542]",2600.0,996.9230769230769
24,"[3842.4983290276878, 94.25414895341389, 3310.8431412539626, 2310.565871218308, 2856.76661248746, 4108.396065882748, 3281.466327996025]","[151682.77871959755, 35062.54341066997, 2222094.730315652, 2243823.5921566226, 2259650.7852498223, 2208491.1900260844, 2092985.0138394206]","[10, 15, 12, 11, 9, 17, 15]","[9564.575645756458, 14561.797752808989, 908.1990189208129, 921.1087420042644, 931.0344827586207, 945.2954048140044, 967.525195968645]",2646.0,979.5918367346939
25,"[6002.914500841824, 85.8798433269598, 3271.6307736770923, 5188.375666484656, 6370.184940658704, 4105.337237017285, 3260.9806186766564]","[132857.466336897, 32701.17530321177, 2175131.7274387553, 2136395.1037892997, 2122006.0550376815, 2225781.8308551335, 2210020.4034564793]","[13, 22, 18, 22, 24, 17, 10]","[9564.575645756458, 14480.446927374302, 915.2542372881356, 935.7400722021661, 953.9933750460066, 968.9719626168225, 987.052551408987]",2595.0,998.8439306358382
26,"[4118.0449215221915, 91.87354481744073, 1956.856555426116, 2549.19254086952, 3098.8709554944867, 3559.3290701206843, 3213.818256526349]","[148825.96025761997, 34636.32639617516, 2259947.5820716578, 2171574.475212658, 2271610.6566433418, 2188459.3781234133, 2191830.5864165514]","[14, 18, 10, 14, 10, 14, 11]","[9564.575645756458, 14480.446927374302, 919.8012775017743, 931.3690262306864, 942.8883230265551, 956.4575645756457, 976.271186440678]",2622.0,988.558352402746
27,"[283.86075732391544, 78.36237829141861, 3185.5427724750525, 5522.263247554442, 4018.2185416647276, 2283.8323395351304, 3755.348522462176]","[151791.9099639608, 28820.92795083287, 2231329.0496179243, 2154859.772860568, 2176090.6971634803, 2246329.93359014, 2141258.031284914]","[8, 13, 14, 24, 14, 11, 13]","[9564.575645756458, 14480.446927374302, 905.6603773584906, 921.1087420042644, 934.3907714491709, 946.3307776560789, 966.4429530201343]",2647.0,979.2217604835663
28,"[243.52572352282436, 109.34860130287223, 3397.023827107049, 4415.9499181844185, 2647.39140512804, 2382.7934340473785, 2831.012954470955]","[125909.03683124512, 37964.318990480715, 2200712.3884969414, 2205357.908036868, 2245567.6595798195, 2222126.8859447883, 2230720.777648937]","[23, 12, 14, 20, 15, 12, 10]","[9564.575645756458, 14727.272727272728, 920.4545454545455, 938.7902933719666, 956.8106312292359, 972.972972972973, 988.558352402746]",2603.0,995.7741067998463
29,"[1110.4636073077497, 119.43352315457145, 4262.797353256975, 1512.1039626777501, 4211.171939145578, 3010.4902172605152, 2942.5845027216665]","[144766.69233549893, 44309.83709034601, 2202369.489422674, 2247998.4868439343, 2220819.03297181, 2186450.583924245, 2164301.73238004]","[23, 10, 21, 12, 15, 18, 13]","[9564.575645756458, 14400.0, 916.5487977369165, 931.3690262306864, 948.4083424807903, 966.0827431979128, 985.5513307984791]",2600.0,996.9230769230769
30,"[259.2009856565995, 118.41919181291905, 3689.1762864969533, 1746.3502696145667, 1891.4522879145081, 4160.536465307015, 3630.7120064281853]","[135696.34609522493, 44288.77773803173, 2179832.3053418966, 2247008.650134442, 2277204.036273067, 2163013.7331373864, 2134843.3708651154]","[22, 13, 19, 11, 8, 19, 14]","[9564.575645756458, 14400.0, 919.474991131607, 932.3741007194244, 944.2622950819672, 960.0, 982.1902235695339]",2604.0,995.3917050691244
