Experiment,Mean Idle Times,Sum Idle Times,Downtime,Mean CT,Parts Done,Cycle Time
82,"[0.0, 6245.050916399323, 3666.260624091934, 84845.23780133933, 128551.23912443558, 80735.07331043381, 81584.48924092695]","[17485.0, 6245.0509163993265, 3666.260624091934, 84845.23780133933, 72840.30141140326, 80735.07331043381, 81584.48924092697]","[0, 0, 0, 0, 1, 0, 0]","[26.19769557307459, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
83,"[0.0, 5730.131610548331, 3728.640840686152, 150247.327098278, 73801.72034259484, 80642.05687558147, 81448.49662456564]","[17645.0, 5730.131610548335, 3728.640840686152, 76272.11409814518, 72902.14261179522, 80642.05687558147, 81448.49662456565]","[0, 1, 1, 2, 1, 0, 0]","[26.28536659567995, 169.41176470588235, 1093.6708860759493, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366]",82.0,1053.658536585366
84,"[0.0, 6265.974787097406, 3086.6833332179594, 84898.20336623481, 83934.55635215688, 80938.54075534381, 81755.76332827972]","[16180.0, 6265.974787097406, 3086.6833332179594, 84898.20336623484, 73925.55597542408, 80938.54075534381, 81755.7633282797]","[0, 0, 1, 0, 1, 0, 0]","[25.706634930080334, 162.71186440677965, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867]",83.0,1040.9638554216867
85,"[0.0, 6251.35813608396, 3669.5031754249067, 145830.28771051473, 86150.93558702158, 80742.1545627373, 81591.6402203287]","[15595.0, 6251.3581360839635, 3669.5031754249067, 81106.24188791408, 73138.83002996455, 80742.15456273728, 81591.6402203287]","[0, 0, 0, 1, 1, 0, 0]","[25.50177095631641, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
86,"[0.0, 5337.703961587686, 2768.3863584459395, 84938.69617142441, 77377.83644416896, 112131.61651735443, 81636.06452090191]","[17160.0, 5337.703961587689, 2768.3863584459395, 84938.69617142441, 77377.83644416895, 76658.4536431104, 81636.06452090194]","[0, 3, 0, 0, 0, 1, 0]","[26.102719033232628, 185.80645161290323, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976, 993.1034482758621]",87.0,993.1034482758621
87,"[0.0, 5792.711965670842, 3192.3376578490424, 85003.3354999593, 77805.28800538724, 81044.00901300754, 81865.46096449089]","[15121.0, 5792.711965670838, 3192.3376578490424, 85003.3354999593, 77805.28800538724, 81044.00901300754, 81865.46096449086]","[0, 1, 1, 0, 0, 0, 0]","[25.33724340175953, 169.41176470588235, 1093.6708860759493, 1080.0, 1066.6666666666667, 1053.658536585366, 1040.9638554216867]",83.0,1040.9638554216867
88,"[0.0, 6324.938396563568, 4153.286076010565, 85242.70692792913, 153664.02965695818, 81682.49165661712, 123440.81495890304]","[13592.0, 6324.938396563564, 4153.286076010561, 85242.70692792913, 74653.79925424284, 81682.49165661712, 77766.19745818569]","[0, 0, 3, 0, 1, 0, 1]","[24.82045389255961, 163.0188679245283, 1216.9014084507041, 1200.0, 1183.5616438356165, 1167.5675675675675, 1152.0]",75.0,1152.0
89,"[0.0, 7978.204812906268, 5378.176559205498, 81608.80250135958, 74586.9080701099, 144384.44769400576, 78547.14075918641]","[10796.0, 7978.204812906271, 5378.176559205502, 81608.80250135959, 74586.90807010989, 69182.59919232424, 78547.1407591864]","[1, 1, 0, 1, 0, 2, 0]","[25.12358243675487, 174.54545454545453, 1080.0, 1107.6923076923076, 1093.6708860759493, 1080.0, 1066.6666666666667]",81.0,1066.6666666666667
90,"[0.0, 6246.499915583441, 3666.395244553645, 84846.05626538047, 77374.85542074387, 80734.83764065453, 81584.18245528129]","[12477.0, 6246.499915583441, 3666.395244553649, 84846.05626538045, 77374.85542074389, 80734.83764065453, 81584.18245528129]","[0, 0, 0, 0, 0, 0, 0]","[24.420576596947427, 162.71186440677965, 1053.658536585366, 1040.9638554216867, 1028.5714285714287, 1016.4705882352941, 1004.6511627906976]",86.0,1004.6511627906976
91,"[0.0, 9858.188874826545, 7277.525625771825, 85489.97032895208, 128651.94978049817, 80771.87659535206, 217126.76962196652]","[5867.0, 9858.188874826545, 7277.525625771828, 85489.97032895207, 65766.13621028705, 80771.87659535205, 73454.82594069694]","[2, 0, 0, 0, 2, 0, 2]","[24.622399544029637, 170.41420118343194, 1093.6708860759493, 1080.0, 1080.0, 1107.6923076923076, 1136.842105263158]",76.0,1136.842105263158
